Record_ID,Annee,Categorie,Infraction_Affaire_traitee,Infraction_normalisee,Saisine_Plaintes_directes,Saisine_FD,Saisine_ST,Saisine_Autres,Victimes_H,Victimes_F,Victimes_G,Victimes_F_fille,MiseEnCause_Neutralises,MiseEnCause_Interpelles,Resultats_En_cours,Resultats_Retraits,Resultats_DAT,Resultats_DEF,Total_saisines,Total_victimes,Total_resultats,Volume_activite,Taux_DEF_sur_saisines,Facteur_annualisation,Plaintes_directes_annualisees,Infraction_non_renseignee,Observations_Objets_saisis
INF-346B459EAF1A,2025,VII. AUTRES,Découverte cadavre,decouverte cadavre,215,0,0,0,0,0,0,0,0,0,0,0,0,0,215,0,0,215,0.0,1.0,215,False,
INF-821A617504EE,2025,VII. AUTRES,Découverte fœtus,decouverte f tus,27,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,27,0.0,1.0,27,False,
INF-1A98C8596B10,2025,VII. AUTRES,Manifestations de foules,manifestations de foules,171,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,171,0.0,1.0,171,False,
INF-67FF06D94ACB,2025,VII. AUTRES,Incendie,incendie,88,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,88,0.0,1.0,88,False,
INF-BD4E46CD7F8F,2026-S1,I. C/ ÉTAT,Usurpation de fonction,usurpation de fonction,0,2,0,0,2,0,0,0,0,2,0,0,0,2,2,2,2,6,1.0,2.0,0,False,
INF-84A3E5D4CDAB,2026-S1,I. C/ ÉTAT,Usurpation d’Identité,usurpation d'identite,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,2,0.0,2.0,2,False,
INF-7CA01A2BA64E,2026-S1,I. C/ ÉTAT,Trouble à l’Ordre Public,trouble a l'ordre public,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,3,0.0,2.0,2,False,
INF-65E3FBCD4A45,2026-S1,I. C/ ÉTAT,Usurpation de titre,usurpation de titre,2,0,0,2,3,0,0,0,0,2,0,0,0,4,4,3,4,9,1.0,2.0,4,False,
INF-180976A545DC,2026-S1,II. CRIMINALITÉ ET ACTES DE BANDITISME,Vol avec violence avec arme à feu,vol avec violence avec arme a feu,4,5,0,2,10,3,0,0,9,22,0,0,0,20,11,13,20,55,1.8182,2.0,8,False,
INF-D812FCC39B85,2026-S1,II. CRIMINALITÉ ET ACTES DE BANDITISME,Vol avec violence avec arme blanche,vol avec violence avec arme blanche,55,14,0,6,49,23,0,1,7,63,10,0,3,59,75,73,72,218,0.7867,2.0,110,False,
INF-AA558D4313F6,2026-S1,II. CRIMINALITÉ ET ACTES DE BANDITISME,Association des malfaiteurs,association des malfaiteurs,131,89,9,0,139,78,0,0,0,1233,0,273,764,269,229,217,1306,1679,1.1747,2.0,262,False,
INF-A48E642842C5,2026-S1,II. CRIMINALITÉ ET ACTES DE BANDITISME,Meurtre,meurtre,44,0,0,0,1,1,0,0,0,3,1,0,2,0,44,2,3,49,0.0,2.0,88,False,
INF-8716759067B6,2026-S1,II. CRIMINALITÉ ET ACTES DE BANDITISME,VAMA,vama,2,0,0,0,1,0,0,0,2,0,2,0,0,0,2,1,2,5,0.0,2.0,4,False,
INF-234E6007EBA8,2026-S1,III. INFRACTIONS COURANTES,Vol avec effraction,vol avec effraction,637,104,58,55,383,432,0,0,0,210,44,17,73,110,854,815,244,1879,0.1288,2.0,1274,False,
INF-8F5B3C641D45,2026-S1,III. INFRACTIONS COURANTES,Vol à la tire,vol a la tire,306,115,7,0,170,197,27,34,0,408,5,81,165,158,428,428,409,1264,0.3692,2.0,612,False,
INF-69C1758F25A2,2026-S1,III. INFRACTIONS COURANTES,Vol à l’esbroufe,vol a l'esbroufe,62,35,0,0,59,37,0,0,0,77,2,5,0,67,97,96,74,270,0.6907,2.0,124,False,
INF-3B8690F56307,2026-S1,III. INFRACTIONS COURANTES,Tentative de Vol,tentative de vol,8,0,0,0,8,0,0,0,0,6,2,0,0,5,8,8,7,22,0.625,2.0,16,False,
INF-B4786968DF6E,2026-S1,III. INFRACTIONS COURANTES,Vol simple,vol simple,2779,583,187,116,1932,1552,163,158,2,1000,272,472,236,360,3665,3805,1340,8472,0.0982,2.0,5558,False,
INF-ECE50A1B70AC,2026-S1,III. INFRACTIONS COURANTES,Vol moto,vol moto,156,33,0,0,165,24,0,0,0,64,4,19,14,26,189,189,63,442,0.1376,2.0,312,False,
INF-F95D93281CA8,2026-S1,III. INFRACTIONS COURANTES,VVF,vvf,109,56,7,0,93,76,0,0,0,51,5,29,20,13,172,169,67,392,0.0756,2.0,218,False,
INF-7FD55CF8801E,2026-S1,III. INFRACTIONS COURANTES,Destruction de bien d’autrui,destruction de bien d'autrui,88,46,4,0,97,42,8,1,0,34,10,10,18,12,138,148,50,320,0.087,2.0,176,False,
INF-4577F40E1B5A,2026-S1,III. INFRACTIONS COURANTES,Violation de domicile,violation de domicile,38,30,0,0,20,48,0,0,0,96,2,19,49,21,68,68,91,232,0.3088,2.0,76,False,
INF-F0B5BBFC24EF,2026-S1,III. INFRACTIONS COURANTES,Outrage et diffamation publique,outrage et diffamation publique,62,42,0,0,67,36,1,0,0,61,2,6,23,31,104,104,62,269,0.2981,2.0,124,False,
INF-BB85BCE6CE70,2026-S1,III. INFRACTIONS COURANTES,Menace,menace,197,0,21,0,105,106,1,0,0,106,76,23,50,55,218,212,204,536,0.2523,2.0,394,False,
INF-C53C356D7B05,2026-S1,III. INFRACTIONS COURANTES,CBV,cbv,311,31,7,0,182,146,0,0,1,183,82,75,49,84,349,328,290,861,0.2407,2.0,622,False,
INF-FC43832A00EF,2026-S1,III. INFRACTIONS COURANTES,Non-exécution DJ,non-execution dj,2,0,2,0,3,3,0,0,0,12,1,0,0,2,4,6,3,22,0.5,2.0,4,False,
INF-15C37F8A0866,2026-S1,III. INFRACTIONS COURANTES,VAR,var,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,0.0,2.0,2,False,
INF-70A0C0A27DCE,2026-S1,III. INFRACTIONS COURANTES,VPE,vpe,18,1,0,0,11,7,0,0,0,6,8,2,0,7,19,18,17,43,0.3684,2.0,36,False,
