Record_ID,Annee,Categorie,Infraction_Affaire_traitee,Infraction_normalisee,Saisine_Plaintes_directes,Saisine_FD,Saisine_ST,Saisine_Autres,Victimes_H,Victimes_F,Victimes_G,Victimes_F_fille,MiseEnCause_Neutralises,MiseEnCause_Interpelles,Resultats_En_cours,Resultats_Retraits,Resultats_DAT,Resultats_DEF,Total_saisines,Total_victimes,Total_resultats,Volume_activite,Taux_DEF_sur_saisines,Facteur_annualisation,Plaintes_directes_annualisees,Infraction_non_renseignee,Observations_Objets_saisis,Cluster,PCA_1,PCA_2,Score_anomalie,Anomalie_ML,Raisons_anomalie,Anomalie_regle,Est_anomalie,Niveau_anomalie
INF-DCEA7B08EBD9,2025,IV. INFRACTIONS ÉCONOMIQUES,Blanchiment de capitaux,blanchiment de capitaux,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,3,0.0,1.0,0,False,,1,-2.146965425562636,-0.0669449801646186,-0.249427,False,,False,False,Normale
INF-8B6673BD791A,2025,IV. INFRACTIONS ÉCONOMIQUES,Destructions de bien d’autrui,destructions de bien d'autrui,71,1,4,0,49,28,0,0,0,95,9,4,6,38,76,77,57,248,0.5,1.0,71,False,,0,1.3913294667711766,-0.3937043508205416,-0.214264,False,,False,False,Normale
INF-4E6426597785,2025,IV. INFRACTIONS ÉCONOMIQUES,"Incendie criminel, volontaire",incendie criminel volontaire,1,0,0,0,1,1,0,0,0,3,0,1,0,2,1,2,3,6,2.0,1.0,1,False,,1,-1.818951361088696,0.0078108704053398,-0.248484,False,,False,False,Normale
INF-47F8324B5C27,2025,IV. INFRACTIONS ÉCONOMIQUES,Emission de chèque sans provision,emission de cheque sans provision,6,0,4,0,7,1,0,0,0,7,5,0,11,10,10,8,26,25,1.0,1.0,6,False,,1,-0.3809566207529853,-0.2265491212992864,-0.232409,False,,False,False,Normale
INF-FDF3191631B7,2025,IV. INFRACTIONS ÉCONOMIQUES,Non-exécution d’une décision judiciaire,non-execution d'une decision judiciaire,0,0,4,0,2,1,0,0,0,4,3,0,0,3,4,3,6,11,0.75,1.0,0,False,,1,-1.1407242374151605,-0.1571205570431994,-0.24272,False,,False,False,Normale
INF-0405525CC522,2025,IV. INFRACTIONS ÉCONOMIQUES,Faux et usage de faux,faux et usage de faux,38,1,22,0,46,25,0,0,0,39,15,0,14,31,61,71,60,171,0.5082,1.0,38,False,,0,1.2118242754785076,-0.4247647847520187,-0.207359,False,,False,False,Normale
INF-0135A813413E,2025,IV. INFRACTIONS ÉCONOMIQUES,Trafic d’influence,trafic d'influence,0,0,1,0,2,0,0,0,0,5,0,0,0,1,1,2,1,8,1.0,1.0,0,False,,1,-1.8333900752343888,-0.0035861291986591,-0.248699,False,,False,False,Normale
INF-5751C313C3A4,2025,IV. INFRACTIONS ÉCONOMIQUES,Abattage d’arbre,abattage d'arbre,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,1,2,1.0,1.0,0,False,,1,-2.278848462241025,0.0136780596239615,-0.249108,False,,False,False,Normale
INF-2D0BE80548F9,2025,IV. INFRACTIONS ÉCONOMIQUES,Acte de concurrence déloyale,acte de concurrence deloyale,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,1,1,2,0.0,1.0,0,False,,1,-2.286852692631283,-0.064287830632178,-0.249418,False,,False,False,Normale
INF-615E20A9E846,2025,IV. INFRACTIONS ÉCONOMIQUES,Détournement de fonds,detournement de fonds,2,0,1,0,3,0,0,0,0,2,1,0,0,2,3,3,3,8,0.6667,1.0,2,False,,1,-1.5155068558469298,-0.0909229272286634,-0.248565,False,,False,False,Normale
