Annee;Categorie;Infraction_Affaire_traitee;Infraction_normalisee;Saisine_Plaintes_directes;Saisine_FD;Saisine_ST;Saisine_Autres;Victimes_H;Victimes_F;Victimes_G;Victimes_F_fille;MiseEnCause_Neutralises;MiseEnCause_Interpelles;Resultats_En_cours;Resultats_Retraits;Resultats_DAT;Resultats_DEF;Observations_Objets_saisis
2025;VI. ACCIDENTS DE LA CIRCULATION;Corporel;corporel;852;153;45;5;689;306;102;86;0;349;94;101;291;220;
2025;VI. ACCIDENTS DE LA CIRCULATION;Matériel;materiel;262;70;16;0;160;50;0;0;0;178;13;49;105;100;
2025;VI. ACCIDENTS DE LA CIRCULATION;Mortel;mortel;69;18;0;0;64;21;10;7;0;68;10;3;1;69;
2025;VI. ACCIDENTS DE LA CIRCULATION;Délit de fuite;delit de fuite;4;0;0;0;2;0;0;0;0;0;0;2;2;0;
2025;VI. ACCIDENTS DE LA CIRCULATION;Conduite en état d’ivresse;conduite en etat d’ivresse;12;5;0;0;4;0;0;0;0;0;2;11;0;0;
2025;VII. AUTRES;Découverte cadavre;decouverte cadavre;215;0;0;0;0;0;0;0;0;0;0;0;0;0;
2025;VII. AUTRES;Découverte fœtus;decouverte fœtus;27;0;0;0;0;0;0;0;0;0;0;0;0;0;
2025;VII. AUTRES;Manifestations de foules;manifestations de foules;171;0;0;0;0;0;0;0;0;0;0;0;0;0;
2025;VII. AUTRES;Incendie;incendie;88;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-S1;I. C/ ÉTAT;Usurpation de fonction;usurpation de fonction;0;2;0;0;2;0;0;0;0;2;0;0;0;2;
2026-S1;I. C/ ÉTAT;Usurpation d’Identité;usurpation d’identite;1;0;0;0;1;0;0;0;0;0;0;0;0;0;
2026-S1;I. C/ ÉTAT;Trouble à l’Ordre Public;trouble a l’ordre public;1;0;0;0;1;0;0;0;0;1;0;1;0;0;
2026-S1;I. C/ ÉTAT;Usurpation de titre;usurpation de titre;2;0;0;2;3;0;0;0;0;2;0;0;0;4;
2026-S1;II. CRIMINALITÉ ET ACTES DE BANDITISME;Vol avec violence avec arme à feu;vol avec violence avec arme a feu;4;5;0;2;10;3;0;0;9;22;0;0;0;20;
2026-S1;II. CRIMINALITÉ ET ACTES DE BANDITISME;Vol avec violence avec arme blanche;vol avec violence avec arme blanche;55;14;0;6;49;23;0;1;7;63;10;0;3;59;
2026-S1;II. CRIMINALITÉ ET ACTES DE BANDITISME;Association des malfaiteurs;association des malfaiteurs;131;89;9;0;139;78;0;0;0;1233;0;273;764;269;
2026-S1;II. CRIMINALITÉ ET ACTES DE BANDITISME;Meurtre;meurtre;44;0;0;0;1;1;0;0;0;3;1;0;2;0;
2026-S1;II. CRIMINALITÉ ET ACTES DE BANDITISME;VAMA;vama;2;0;0;0;1;0;0;0;2;0;2;0;0;0;
2026-S1;III. INFRACTIONS COURANTES;Vol avec effraction;vol avec effraction;637;104;58;55;383;432;0;0;0;210;44;17;73;110;
2026-S1;III. INFRACTIONS COURANTES;Vol à la tire;vol a la tire;306;115;7;0;170;197;27;34;0;408;5;81;165;158;
2026-S1;III. INFRACTIONS COURANTES;Vol à l’esbroufe;vol a l’esbroufe;62;35;0;0;59;37;0;0;0;77;2;5;0;67;
2026-S1;III. INFRACTIONS COURANTES;Tentative de Vol;tentative de vol;8;0;0;0;8;0;0;0;0;6;2;0;0;5;
2026-S1;III. INFRACTIONS COURANTES;Vol simple;vol simple;2779;583;187;116;1932;1552;163;158;2;1000;272;472;236;360;
2026-S1;III. INFRACTIONS COURANTES;Vol moto;vol moto;156;33;0;0;165;24;0;0;0;64;4;19;14;26;
2026-S1;III. INFRACTIONS COURANTES;VVF;vvf;109;56;7;0;93;76;0;0;0;51;5;29;20;13;
2026-S1;III. INFRACTIONS COURANTES;Destruction de bien d’autrui;destruction de bien d’autrui;88;46;4;0;97;42;8;1;0;34;10;10;18;12;
2026-S1;III. INFRACTIONS COURANTES;Violation de domicile;violation de domicile;38;30;0;0;20;48;0;0;0;96;2;19;49;21;
2026-S1;III. INFRACTIONS COURANTES;Outrage et diffamation publique;outrage et diffamation publique;62;42;0;0;67;36;1;0;0;61;2;6;23;31;
2026-S1;III. INFRACTIONS COURANTES;Menace;menace;197;0;21;0;105;106;1;0;0;106;76;23;50;55;
2026-S1;III. INFRACTIONS COURANTES;CBV;cbv;311;31;7;0;182;146;0;0;1;183;82;75;49;84;
2026-S1;III. INFRACTIONS COURANTES;Non-exécution DJ;non-execution dj;2;0;2;0;3;3;0;0;0;12;1;0;0;2;
2026-S1;III. INFRACTIONS COURANTES;VAR;var;1;0;0;0;1;0;0;0;0;0;1;0;0;0;
2026-S1;III. INFRACTIONS COURANTES;VPE;vpe;18;1;0;0;11;7;0;0;0;6;8;2;0;7;
2026-S1;III. INFRACTIONS COURANTES;VBG;vbg;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
2026-S1;III. INFRACTIONS COURANTES;FD de VOL;fd de vol;3;0;0;0;2;1;0;0;0;2;1;0;0;2;
2026-S1;III. INFRACTIONS COURANTES;IVPM;ivpm;1;0;0;0;1;0;0;0;0;0;1;0;0;0;
2026-S1;III. INFRACTIONS COURANTES;AUTRES;autres;62;1;0;0;40;34;0;0;0;29;5;2;2;15;
2026-S1;IV. INFRACTIONS ÉCONOMIQUES;Escroquerie;escroquerie;258;36;28;10;166;187;0;0;0;185;83;42;59;81;
2026-S1;IV. INFRACTIONS ÉCONOMIQUES;ABC;abc;444;59;44;5;262;275;0;2;0;322;97;83;67;146;
2026-S1;IV. INFRACTIONS ÉCONOMIQUES;Extorsion de fonds;extorsion de fonds;0;0;1;0;0;2;0;0;0;2;0;0;1;0;
2026-S1;IV. INFRACTIONS ÉCONOMIQUES;Emission de chèque sans provision;emission de cheque sans provision;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-S1;IV. INFRACTIONS ÉCONOMIQUES;Destruction de bien d’autrui;destruction de bien d’autrui;20;0;0;0;13;7;0;0;0;5;3;1;3;5;
2026-S1;IV. INFRACTIONS ÉCONOMIQUES;Abattage d’arbre illicite;abattage d’arbre illicite;2;0;0;0;2;0;0;0;0;1;0;0;1;0;
2026-S1;IV. INFRACTIONS ÉCONOMIQUES;Faux et usage de faux;faux et usage de faux;2;0;1;0;0;3;0;0;0;0;3;0;0;0;
2026-S1;IV. INFRACTIONS ÉCONOMIQUES;Stellionat;stellionat;1;0;0;0;0;1;0;0;0;0;1;0;0;0;
2026-S1;IV. INFRACTIONS ÉCONOMIQUES;Usurpation d’identité;usurpation d’identite;2;0;2;0;3;1;0;0;0;3;2;0;0;1;
2026-S1;IV. INFRACTIONS ÉCONOMIQUES;Usurpation de qualité;usurpation de qualite;0;0;1;0;0;1;0;0;0;0;1;0;0;0;
2026-S1;V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES;Détention et consommation chanvre Indien;detention et consommation chanvre indien;10;76;0;0;6;1;0;0;0;159;2;92;34;27;
2026-S1;V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES;Vente;vente;2;1;0;0;3;0;0;0;0;3;0;0;0;1;
2026-S1;V. LUTTE C/ LES STUPÉFIANTS ET SUBSTANCES PSYCHOTROPES;Injection et détention d’héroïne;injection et detention d’heroine;0;19;0;0;0;0;0;0;0;30;0;0;12;21;
2026-S1;VI. ACCIDENTS DE LA CIRCULATION;Corporel;corporel;445;277;0;6;228;95;56;28;0;69;46;20;77;30;
2026-S1;VI. ACCIDENTS DE LA CIRCULATION;Matériel;materiel;131;110;0;0;106;20;0;0;0;130;10;8;35;93;
2026-S1;VI. ACCIDENTS DE LA CIRCULATION;Mortel;mortel;43;25;0;0;38;12;10;5;0;52;6;2;0;51;
2026-S1;VI. ACCIDENTS DE LA CIRCULATION;Délit de fuite;delit de fuite;13;2;0;0;11;0;0;0;0;0;6;3;0;3;
2026-S1;VI. ACCIDENTS DE LA CIRCULATION;Conduite en état d’ivresse;conduite en etat d’ivresse;4;26;0;0;17;9;2;0;0;0;0;2;0;1;
2026-S1;VII. AUTRES;Découverte cadavre;decouverte cadavre;120;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-S1;VII. AUTRES;Découverte fœtus;decouverte fœtus;12;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-S1;VII. AUTRES;Manifestations de foules;manifestations de foules;70;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-S1;VII. AUTRES;Incendie;incendie;45;0;0;0;0;0;0;0;0;0;0;0;0;0;
2026-S1;VII. AUTRES;Détournement de mineur;detournement de mineur;0;0;0;0;0;1;0;1;0;0;1;0;0;0;
